router;ip;proveedor;modelo
aba-pba-00;10.150.200.145;;
aca-aas-00;10.150.197.16;;
aca-anc-00;10.150.201.49;;
aca-anc-00;10.150.201.49;;
aca-upt-00;10.150.201.66;;
aco-msp-00;10150200167;;
aer-aep-00;10.150.196.39;;
aer-iam-00;10.150.200.75;;
aer-iam-00;10.150.200.75;;
aer-pdh-00;10.150.201.141;;
aer-sai-00;10.150.217.29;;
afl-rnv-00;10.150.200.96;;
anz-bsu-00;10150199131;;
arb-tvz-00;10150201140;;
av5-mvt-00;10.150.194.27;;
bae-sai-00;10.150.217.48;;
bar-dem-00;10150201144;;
bar-her-00;10150197134;;
bar-msp-00;10150201179;;
bar-mvt-02;10.150.195.130;;
bar-pga-00;10150201182;;
bar-sai-00;10.150.201.163;;
bcc-asw-00;10.125.55.221;;
bec-cmq-00;10150201212;;
bej-asw-03;10.125.2.74;;
bmt-tsj-00;10.150.217.12;;
bno-asw-01;10.125.58.98;;
bol-ban-00;10.150.198.17;;
bol-cie-00;10.150.217.36;;
bol-dgc-00;10.150.211.16;;
bol-idr-00;10.150.217.86;;
bol-mij-00;10.150.200.59;;
bol-mov-01;10.150.196.68;;
bol-mpf-00;10.150.200.44;;
bol-mpf-01;10.150.217.25;;
bol-sca-00;10.150.196.9;;
bol-sud-00;10.150.217.31;;
bol-tves-00;10.150.200.26;;
bol-ucs-00;10.150.196.71;;
bol-vtv-01;10.150.200.68;;
brb-mvt-00;10150194136;;
brs2-geb-00;10150200149;;
brs2-pdb-00;10.150.201.17;;
bto-bfc-00;10.150.199.8;;
bto-cov-00;10.150.197.33;;
bto-dem-00;10.150.201.18;;
bto-hil-00;10.150.201.83;;
bto-lac-00;10.150.201.84;;
bv1-mvt-01;10.150.195.7;;
bv1-pdj-00;10.150.201.29;;
cag-plu-01;10.150.196.31;;
cao-bme-01;10.150.198.12;;
cao-cic-01;10.150.217.67;;
cao-cne-01;10.150.200.53;;
cao-mda-00;10.150.200.51;;
cao-mij-00;10.150.217.54;;
cao-mpa-00;10.150.200.73;;
cao-rdc-00;10.150.196.80;;
car-adm-00;10150201214;;
cbl-acu-00;10.150.197.9;;
cbl-acu-00;10.150.197.9;;
cbo-pro-00;10150197135;;
cbu-lac-00;10.150.201.24;;
cch-fvp-00;10.150.200.36;;
cch-ifr-00;10.150.217.45;;
cch-mij-00;10.150.217.44;;
ccs-bex-01;10.150.198.28;;
ccs-dpi-00;10.150.217.73;;
ccs-fco-00;10.150.200.34;;
ccs-fma-00;10.150.200.61;;
ccs-gdc-00;10.150.217.61;;
ccs-ibn-00;10.150.200.27;;
ccs-mic-00;10.150.200.98;;
ccs-mpa-00;10.150.200.74;;
ccs-mpi-00;10.150.200.72;;
ccs-mpu-00;10.150.200.45;;
ccs-mpu-00;10.150.200.45;;
ccs-scp-00;10.150.217.90;;
ccs-tif-00;10.150.200.35;;
ccs-viv-00;10.150.200.69;;
ccs-viv-00;10.150.200.69;;
cfa-ucs-00;10.150.196.72;;
cgs-cgb-00;10.150.211.13;;
cgs-dtc-00;10.150.196.26;;
cgs-pgr-00;10.150.217.30;;
cha-fnc-00;10.150.200.89;;
cha-fnc-00;10.150.200.89;;
chc-asw-dcn-06;10.125.101.224;;
chc-bdt-00;10.150.198.21;;
chc-cdu-00;10.150.196.81;;
chc-cpx-00;10.150.217.88;;
chc-inap-00;10.150.200.31;;
chc-itu-00;10.150.217.28;;
chc-mpptaa-00;10.150.200.56;;
chc-msp-00;10.150.217.60;;
chc-mvt-00;10.150.194.12;;
chc-mvt-02;10.150.194.18;;
chc-seb-00;10.150.217.74;;
chc-svi-00;10.150.196.43;;
chc-thp-00;10.150.196.79;;
chc-tsj-00;10.150.200.92;;
chc-tsj-00;10.150.200.92;;
chu-sui-00;10.150.196.75;;
clm-och-00;10.150.200.66;;
clm-och-00;10.150.200.66;;
cmc-pda-00;10.150.200.137;;
cnt-abe-00;10.150.200.25;;
cnt-cni-01;10.150.217.23;;
cnt-ebi-00;10.150.196.44;;
cnt-fup-00;10.150.217.84;;
cnt-inh-00;10.150.200.77;;
cnt-sme-00;10.150.198.8;;
con-sig-00;10150197146;;
coq-tel-00;10.150.197.19;;
cor-mde-00;10.150.201.54;;
cor-msp-00;10.150.201.40;;
cor-mvt-01;10.150.195.12;;
cra-mvt-00;10.125.200.16;;
cri-csf-00;10.150.196.40;;
cri-jsp-00;10.150.200.57;;
cst-shz-00;10.150.196.134;;
ctc1-mij-00;10.150.211.14;;
cti-anc-00;10.150.200.157;;
cti-mij-00;10150200184;;
ctn-oasw-00;10.125.49.76;;
cua-rgo-00;10.150.196.67;;
cum-itu-00;10150201180;;
cve-asw-00;10.125.58.107;;
cve-asw-01;10.125.58.115;;
